num_1_1,num_1_2,num_1_3,num_1_4m,num_0_1,num_0_2,num_0_3,num_0_4m,num_1_all,T=300k
2,1,1,0,2,0,2,0,7,1.6341381
0,0,0,1,1,0,0,1,8,0.8977837
4,1,0,0,2,2,1,0,6,1.9849789
3,0,1,0,0,0,3,0,6,1.0633681
3,0,1,0,1,0,1,1,6,1.4977868
2,2,0,0,1,1,2,0,6,1.7587185
0,1,0,1,1,1,0,1,7,1.2420293
0,0,2,0,0,1,0,1,6,1.1982718
0,2,1,0,1,1,0,1,7,1.5447305
1,2,1,0,1,1,0,1,8,1.6624429
4,1,0,0,2,2,1,0,6,1.8718607
2,0,0,1,0,1,1,1,6,1.1922153
0,2,0,1,2,0,0,1,9,1.4890082
1,0,1,1,2,0,0,1,9,1.3904121
6,1,0,0,5,1,0,0,8,2.0198591
3,2,0,0,1,2,1,0,7,1.8906655
2,0,1,1,3,0,0,0,12,1.3162798
7,0,0,0,6,1,0,0,7,1.5298098
4,0,0,1,3,2,0,0,8,1.6039312
2,1,0,1,1,0,2,0,8,1.4465793
1,1,1,0,2,1,0,1,6,1.6673555
0,0,0,2,1,1,0,0,12,1.2152578
1,1,2,0,2,2,0,0,9,1.8483306
2,1,0,1,3,0,0,1,8,1.6309011
2,1,0,1,3,1,0,0,10,1.4937211
2,1,1,0,3,1,1,0,7,1.8934898
2,0,1,0,2,0,1,1,5,1.512894
2,2,0,0,2,2,1,0,6,1.6683149
0,0,2,1,1,0,1,0,11,1.30799
4,2,0,0,4,0,1,0,8,1.7997609
1,2,1,0,2,1,1,0,8,1.8872172
3,2,0,0,3,1,1,0,7,1.9033079
3,0,0,1,2,1,1,0,8,1.5478443
3,0,0,1,2,1,0,1,7,1.5791248
2,1,0,0,0,1,1,1,4,1.2441562
0,1,1,1,2,0,0,1,9,1.4207617
1,0,0,1,2,0,0,1,6,1.072062
2,0,2,0,2,1,1,0,8,1.6923678
1,1,0,1,0,1,2,0,7,1.1552527
2,0,2,0,1,3,0,0,8,1.3222225
2,1,1,0,1,2,1,0,7,1.4615031
1,0,0,1,1,0,0,1,9,1.1633395
3,1,0,0,2,1,0,1,5,1.8460766
2,1,0,1,2,2,0,0,9,1.5604026
4,0,0,0,3,0,1,1,4,1.441878
2,1,0,1,2,1,1,0,8,1.6680373
2,0,2,0,3,2,0,0,8,1.5833507
3,1,0,1,2,2,0,0,9,1.8798623
1,0,0,2,1,1,0,0,12,1.4472823
1,3,0,0,2,0,2,0,7,1.5904956
2,1,1,0,1,2,1,0,7,1.6801157
1,3,0,0,2,0,2,0,7,1.446365
3,0,1,0,0,3,1,0,6,1.3885394
0,3,1,0,2,0,0,1,9,1.4761387
2,1,1,0,1,2,1,0,7,1.8134596
3,0,0,1,1,2,1,0,7,1.4958909
1,1,0,0,2,0,0,1,3,1.5301496
2,0,1,1,4,0,0,0,11,1.4104218
0,2,0,1,2,0,0,1,8,1.5550263
2,3,0,0,3,0,0,1,8,1.8237779
1,2,0,0,1,1,1,1,5,1.7407212
4,0,0,0,2,2,0,1,4,1.3232979
2,0,0,1,2,0,1,0,10,1.1876924
5,0,1,0,4,0,1,0,8,1.5978345
5,1,0,0,4,2,0,0,7,2.1690218
3,1,0,0,3,1,0,1,5,1.6419342
4,1,0,0,4,1,1,0,6,2.0832641
2,1,1,0,3,1,1,0,7,1.6567556
1,3,0,0,2,0,2,0,7,1.4050657
4,0,1,0,2,1,0,1,7,1.8147955
2,2,0,0,1,4,0,0,6,1.4949577
0,1,1,0,0,1,0,1,5,1.2506347
4,0,0,0,0,1,0,2,4,1.1025541
1,1,1,1,2,0,1,0,10,1.536902
3,0,1,0,3,1,0,1,6,1.5187678
2,0,0,1,1,1,0,1,7,1.386754
4,1,0,0,2,0,1,1,6,1.8542758
2,3,0,0,3,0,0,1,8,1.8814375
1,2,0,1,1,2,0,0,10,1.5153344
1,1,0,1,1,2,1,0,7,1.3498218
2,0,0,1,2,0,0,1,6,1.4615403
1,0,0,1,1,0,2,0,8,1.1341271
1,2,1,0,3,2,0,0,8,1.7681102
4,1,0,0,2,1,0,1,6,1.9137353
1,1,1,1,4,0,0,0,11,1.6550987
3,1,0,0,0,3,0,1,5,1.4789099
2,1,1,0,1,2,1,0,7,1.4825473
4,2,0,0,5,1,0,0,8,1.9658395
1,0,1,1,1,0,2,0,8,1.2720288
3,0,1,0,1,0,1,1,6,1.6144598
2,0,0,1,3,0,0,0,12,1.2207979
2,1,1,0,1,2,1,0,7,1.6398221
3,0,0,0,1,0,0,2,3,1.2367436
1,2,0,1,3,1,0,0,10,1.7986267
4,1,0,0,2,2,1,0,6,1.9042598
2,0,1,0,1,2,0,1,5,1.4061273
2,1,0,1,3,0,1,0,9,1.4895819
4,0,1,0,2,3,0,0,7,1.7453401
4,0,1,0,2,1,0,1,7,1.6951361
5,1,0,0,4,2,0,0,7,2.000962
0,1,1,0,1,1,0,1,5,1.343583
5,0,1,0,4,0,1,0,8,1.6500241
2,2,0,0,1,2,0,1,6,1.6578653
2,1,1,0,2,0,2,0,7,1.543685
2,0,2,0,1,1,0,1,8,1.4995105
2,1,0,1,0,2,1,0,8,1.3627918
2,2,1,0,2,2,0,0,9,2.1674476
2,2,0,0,0,3,1,0,6,1.4949723
1,1,0,1,1,0,1,1,7,1.2907839
0,0,0,2,0,0,1,1,8,1.1784838
4,1,0,0,1,2,0,1,6,1.8388371
4,0,0,0,2,0,0,1,4,1.386006
2,0,1,0,1,2,0,1,5,1.6055491
1,1,0,1,1,1,0,1,8,1.2866555
1,2,0,1,2,2,0,0,9,1.5898871
3,1,0,0,3,0,1,1,5,1.814377
2,1,0,0,2,0,1,1,4,1.492582
2,2,0,0,1,2,0,1,6,1.4337496
1,0,0,1,1,0,0,1,7,1.0478618
1,0,2,0,1,0,1,1,7,1.4651061
1,2,1,0,2,1,1,0,8,1.6193472
2,1,1,0,3,1,1,0,7,1.8025537
3,1,0,0,1,1,1,1,5,1.5621232
2,1,0,0,0,2,1,1,4,1.4713452
3,1,1,0,4,0,1,0,8,1.6687779
2,2,1,0,2,2,0,0,9,1.8665061
3,0,1,0,2,1,0,1,6,1.5744969
2,0,1,1,2,0,1,0,10,1.3868589
3,1,1,0,3,2,0,0,8,1.8619828
1,0,1,1,3,0,0,1,8,1.4359555
1,1,0,1,0,1,0,1,8,1.4548705
2,3,0,0,3,2,0,0,8,1.881207
1,1,0,1,1,1,0,1,8,1.4636177
0,3,1,0,3,0,1,0,9,1.8154254
2,0,1,1,1,1,1,0,9,1.538011
1,4,0,0,3,0,1,0,9,1.9565942
4,1,1,0,4,1,0,0,9,1.9389853
1,0,1,1,1,1,1,0,9,1.355363
1,0,1,1,1,1,0,1,8,1.5621592
2,0,0,1,3,0,0,1,8,1.2495757
0,2,1,0,2,0,2,0,7,1.5241815
4,0,0,1,2,2,0,0,9,1.6157824
2,0,0,1,1,0,1,1,6,1.2508136
2,2,1,0,3,0,1,0,9,1.7839265
2,1,0,1,2,2,0,0,9,1.7840886
2,1,1,0,2,1,0,1,7,1.6565409
2,3,0,0,3,2,0,0,8,1.9045638
3,2,0,0,3,1,1,0,7,2.1070004
3,1,1,0,3,2,0,0,8,1.7590902
3,0,0,1,2,1,1,0,8,1.5993786
1,0,1,1,1,2,0,0,10,1.2897462
1,0,2,0,0,4,0,0,7,1.2280202
3,1,0,0,2,2,0,1,5,1.7897475
3,1,0,0,1,1,0,1,5,1.7687186
1,1,1,1,4,0,0,0,11,1.6536096
3,0,2,0,4,1,0,0,9,1.6357714
3,0,0,0,0,1,2,1,3,0.98396373
2,1,1,0,2,1,0,1,7,1.6261067
0,3,1,0,2,2,0,0,9,1.9010211
2,0,1,0,0,1,1,1,5,1.1637884
3,3,0,0,4,1,0,0,9,2.0658321
4,2,0,0,3,2,0,0,8,2.2016733
2,1,1,0,3,1,1,0,7,1.7287362
0,0,0,2,1,1,1,0,9,1.4186193
1,2,0,1,2,1,0,0,11,1.8179137
3,2,0,0,3,0,0,1,7,1.7450908
2,0,2,0,4,0,1,0,8,1.5001956
4,1,1,0,4,1,0,0,9,2.016366
1,0,1,1,1,1,0,0,12,1.342428
3,0,1,0,1,1,2,0,6,1.536189
2,0,1,0,1,0,1,1,5,1.4203256
1,2,1,0,2,1,1,0,8,1.789112
2,1,0,1,2,1,1,0,8,1.5439081
1,1,1,1,1,2,0,0,10,1.7098711
0,3,0,0,1,2,0,1,6,1.6896728
5,0,1,0,5,1,0,0,8,1.8315803
1,3,0,0,3,0,0,1,7,1.6964782
1,1,1,1,4,0,0,0,11,1.6323614
1,2,1,0,3,2,0,0,8,1.8234022
3,1,1,0,3,2,0,0,8,1.9878228
3,2,0,0,1,2,1,0,7,1.7312393
0,1,2,0,1,0,0,1,8,1.5433072
5,1,0,0,4,2,0,0,7,1.9258137
2,2,0,0,3,1,0,1,6,1.7737545
1,1,0,1,2,1,0,0,11,1.4056917
3,1,1,0,1,3,0,0,8,2.0319278
4,1,0,0,1,2,0,1,6,1.9346137
1,1,0,1,0,2,1,0,8,1.2649703
3,1,1,0,2,1,1,0,8,1.8058668
5,0,0,0,2,0,0,2,5,1.3861783
2,0,0,1,2,0,1,1,6,1.3699548
0,1,1,1,2,0,1,0,10,1.4376321
2,1,1,0,2,1,0,1,7,1.6767589
1,1,1,0,3,0,0,1,6,1.6024619
4,1,0,0,3,1,0,1,6,1.7691008
2,1,0,1,1,1,0,1,8,1.7192564
5,0,0,0,3,2,1,0,5,1.5642916
3,1,0,1,2,2,0,0,9,2.0048809
2,1,0,0,1,0,0,2,4,1.3076128
3,1,0,1,3,1,0,0,10,1.7896091
2,0,1,1,1,1,1,0,9,1.9300675
5,1,0,0,4,2,0,0,7,1.9006571
0,0,0,1,0,0,0,1,7,0.93409836
4,0,0,1,5,1,0,0,8,1.6274985
1,4,0,0,4,1,0,0,9,1.8667595
1,3,0,0,3,1,1,0,7,1.7553525
2,1,2,0,3,1,0,0,10,2.1271744
2,1,0,0,1,1,0,1,4,1.378571
3,1,1,0,4,0,1,0,8,1.7339315
2,1,0,1,1,0,2,0,8,1.4443223
5,1,0,0,4,2,0,0,7,1.8992159
2,0,2,0,1,3,0,0,8,1.6167265
2,2,1,0,6,0,0,0,9,1.8942468
0,0,0,2,1,0,0,1,10,1.2715142
1,1,0,1,1,1,0,1,8,1.3986151
3,0,0,1,2,1,0,1,7,1.581282
1,1,1,1,3,1,0,0,10,1.8720498
2,2,0,0,1,2,0,1,6,1.4337792
2,1,1,0,1,1,0,1,7,1.8810494
0,1,1,1,2,1,0,0,11,1.5700783
2,3,0,0,2,1,1,0,8,1.8215592
2,0,0,1,0,2,0,1,7,1.26729
3,0,1,0,3,0,0,1,6,1.6673712
3,1,0,0,1,2,0,1,5,1.4204078
0,1,0,1,2,0,0,1,6,1.3546495
3,0,1,0,3,0,2,0,6,1.6223587
1,2,1,0,1,1,0,1,8,1.5824788
2,0,0,1,1,1,0,1,7,1.3188963
0,1,1,0,1,0,0,2,5,1.3419043
3,0,0,1,3,0,1,0,9,1.2485811
