num_1_1,num_1_2,num_1_3,num_1_4m,num_0_1,num_0_2,num_0_3,num_0_4m,num_1_all,ZT
1,0,0,1,1,0,0,1,5,1.2557911
0,0,0,1,1,0,0,1,5,1.3578558
0,0,0,1,0,0,0,1,6,1.3361011
1,0,0,0,0,0,0,2,1,0.95000035
2,0,0,0,0,0,0,2,2,1.0085416
2,0,0,0,1,0,0,2,2,1.0281768
1,1,0,0,0,0,0,2,3,1.0272118
2,0,0,0,0,1,1,1,2,1.033548
3,0,0,0,1,0,1,1,3,1.0930932
1,1,0,0,1,0,1,1,3,1.1790843
1,0,1,0,0,0,1,1,4,1.2776912
2,0,0,0,0,1,1,1,2,1.2635523
3,0,0,0,0,2,0,1,3,1.1834273
3,0,0,0,2,1,0,1,3,1.1985416
2,1,0,0,1,1,0,1,4,1.0580245
1,1,0,0,0,2,0,1,3,1.1352111
2,1,0,0,1,1,0,1,4,1.0783063
1,0,1,0,1,1,0,1,4,1.4314282
1,0,0,1,0,1,0,1,5,1.4604319
2,0,0,0,1,0,0,2,2,1.0628157
3,0,0,0,1,0,1,1,3,1.0941235
3,0,0,0,2,1,0,1,3,1.0662296
2,1,0,0,1,1,0,1,4,1.1097125
3,0,0,0,2,1,0,1,3,1.0218129
4,0,0,0,3,0,0,1,4,0.98682582
2,1,0,0,3,0,0,1,4,1.028334
2,0,1,0,2,0,0,1,5,1.0277681
1,1,0,0,1,0,1,1,3,1.0732859
2,1,0,0,1,1,0,1,4,1.136669
2,1,0,0,3,0,0,1,4,1.074343
1,2,0,0,2,0,0,1,5,1.049193
1,0,1,0,1,1,0,1,4,1.1385502
2,0,1,0,2,0,0,1,5,1.1074173
1,0,0,1,2,0,0,1,5,1.3683076
1,0,0,1,1,0,0,1,6,1.3307121
0,1,0,0,0,0,0,2,2,1.0342387
1,1,0,0,0,0,0,2,3,1.0959853
1,1,0,0,1,0,1,1,3,1.0777284
0,2,0,0,0,0,1,1,4,1.1537122
1,1,0,0,0,2,0,1,3,1.1226823
2,1,0,0,1,1,0,1,4,1.0930098
0,2,0,0,1,1,0,1,4,1.1655368
0,1,1,0,0,1,0,1,5,1.3036441
1,1,0,0,1,0,1,1,3,1.1082499
2,1,0,0,1,1,0,1,4,1.1513422
2,1,0,0,3,0,0,1,4,1.091867
1,2,0,0,2,0,0,1,5,1.0887076
0,2,0,0,1,1,0,1,4,1.1655221
