1,T=300k,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13,parameter14,parameter15
124,1.3079302,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
125,1.2221999,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
126,1.4159187,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
127,1.3654377,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
128,1.393777,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
129,1.3100845,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
130,0.87118536,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
131,0.98532259,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
132,1.0764486,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
133,1.0125786,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
134,1.0180176,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
135,1.1130071,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
136,1.2702066,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
137,1.2207427,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
138,1.063591,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
139,1.1365855,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
140,1.221153,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
141,1.1860975,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
142,1.20444,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
143,1.1878983,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
144,1.2792124,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
145,1.3749741,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
146,1.1105949,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
147,1.1714869,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
148,1.0918599,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
149,1.1709441,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
150,1.1757655,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
151,1.0900542,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
152,1.1654565,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
153,1.1526116,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
154,1.130303,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
155,1.1563683,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
156,1.2611815,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
157,1.1802166,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
158,1.4357463,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
159,1.3394703,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
160,1.5077966,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
161,1.4971318,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
162,1.1240249,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
163,1.1512231,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
164,1.1400532,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
165,1.0846027,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
166,1.1762522,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
167,1.0979102,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
168,1.1133794,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
169,1.3316097,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
170,1.0839527,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
171,1.1893013,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
172,1.0590128,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
173,1.0936762,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1
174,1.2065201,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
175,1.1012439,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
176,1.1657839,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
177,1.3297191,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
178,1.107994,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
179,1.133472,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
180,1.1519023,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
181,1.229314,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1
182,1.1381246,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
183,1.1049771,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
184,1.0829782,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
185,1.0506079,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1
186,1.1487511,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
187,1.3373191,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
188,1.1317246,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0
189,1.0640104,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1
190,1.3997271,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
191,1.1160787,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
192,1.4167217,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
193,1.3758657,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
194,0.99199176,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
195,1.0461923,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
196,1.1244742,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
197,1.0450959,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
198,1.0883044,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
199,1.0676562,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
200,1.121074,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
201,1.2662936,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
202,1.1501224,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
203,1.1775695,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
204,1.1473215,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
205,1.0104836,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
206,1.1774875,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
207,1.1076088,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
208,1.3518804,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
209,1.3362321,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
210,1.1124399,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
211,1.1373532,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
212,1.1559491,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
213,1.1468443,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
214,1.1612674,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
215,1.0818342,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1
216,1.081782,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0
217,1.0842036,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1
218,1.04373,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
219,1.1607934,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
220,1.1739033,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0
221,1.0278845,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1
222,1.21271,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0
223,1.1269137,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
224,1.2819582,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
225,1.3549731,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
226,1.2690206,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
227,1.1873869,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
228,1.2855906,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
229,1.2525083,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
230,1.3770982,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
231,1.1927524,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
232,1.3910189,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
233,1.2402653,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
