1,T=300k,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13,parameter14,parameter15
144,1.6798604,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1
145,1.6663786,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1
146,1.1778679,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0
147,1.2182175,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
148,2.0374875,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1
149,1.3054689,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1
150,2.0637457,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1
151,1.6470858,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0
152,1.5658212,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1
153,1.3993225,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0
154,1.395792,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1
155,1.302186,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1
156,1.5074595,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1
157,1.7659205,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1
158,1.1675925,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0
159,1.4737979,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
160,1.7511221,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0
161,1.1878469,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0
162,1.4424305,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
163,1.8116547,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1
164,1.2801813,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0
165,1.4474007,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1
166,1.7035642,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1
167,1.6760776,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1
168,0.91275913,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
169,1.2584505,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
170,1.4478927,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1
171,1.9028469,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1
172,1.6566844,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1
173,1.7895194,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0
174,1.8907702,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1
175,1.2372721,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
176,1.498504,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1
177,1.6581761,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0
178,1.9566225,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1
179,1.3565391,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0
180,1.3566262,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1
181,1.6431208,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1
182,2.1186814,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1
183,1.2090489,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
184,1.718456,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1
185,1.7697748,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1
186,1.0505466,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1
187,1.8153446,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0
188,1.9363955,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1
189,1.3028914,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1
190,1.6341381,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1
191,0.8977837,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
192,1.9849789,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1
193,1.0633681,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
194,1.4977868,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1
195,1.7587185,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1
196,1.2420293,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0
197,1.1982718,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
198,1.5447305,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1
199,1.6624429,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1
200,1.8718607,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1
201,1.1922153,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1
202,1.4890082,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1
203,1.3904121,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1
204,2.0198591,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1
205,1.8906655,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1
206,1.3162798,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1
207,1.5298098,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
208,1.6039312,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1
209,1.4465793,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1
210,1.6673555,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0
211,1.2152578,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
212,1.8483306,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1
213,1.6309011,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1
214,1.4937211,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1
215,1.8934898,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0
216,1.512894,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0
217,1.6683149,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0
218,1.30799,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1
219,1.7997609,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1
220,1.8872172,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1
221,1.9033079,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1
222,1.5478443,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1
223,1.5791248,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1
224,1.2441562,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
