score,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8
0.99290115,0,0,0,0,3,1,1,0
1.0034155,0,0,0,0,3,1,1,1
1.0965825,0,0,0,0,3,1,1,2
1.1216459,0,0,0,0,3,1,1,3
1.0501581,0,0,0,0,3,1,2,0
1.1184644,0,0,0,0,3,1,2,1
1.1533308,0,0,0,0,3,1,2,2
1.2177597,0,0,0,0,3,1,2,3
1.1301709,0,0,0,0,3,1,3,0
1.1553406,0,0,0,0,3,1,3,1
1.1680627,0,0,0,0,3,1,3,2
1.2621415,0,0,0,0,3,1,3,3
0.90414608,0,0,0,0,3,2,0,0
1.109274,0,0,0,0,3,2,0,1
1.0485698,0,0,0,0,3,2,0,2
1.2692952,0,0,0,0,3,2,0,3
1.0488796,0,0,0,0,3,2,1,0
1.1521227,0,0,0,0,3,2,1,1
1.1176817,0,0,0,0,3,2,1,2
1.2177465,0,0,0,0,3,2,1,3
0.99296117,0,0,0,0,3,2,2,0
1.0976348,0,0,0,0,3,2,2,1
1.0020307,0,0,0,0,3,2,2,2
1.1195297,0,0,0,0,3,2,2,3
1.1308881,0,0,0,0,3,2,3,0
1.167842,0,0,0,0,3,2,3,1
1.1538562,0,0,0,0,3,2,3,2
1.2613381,0,0,0,0,3,2,3,3
1.0369716,0,0,0,0,3,3,0,0
1.2549994,0,0,0,0,3,3,0,1
1.2584955,0,0,0,0,3,3,0,2
1.5439217,0,0,0,0,3,3,0,3
1.04974,0,0,0,0,3,3,1,0
1.1224022,0,0,0,0,3,3,1,1
1.1765345,0,0,0,0,3,3,1,2
1.2609133,0,0,0,0,3,3,1,3
1.0485594,0,0,0,0,3,3,2,0
1.1774194,0,0,0,0,3,3,2,1
1.122988,0,0,0,0,3,3,2,2
1.2608503,0,0,0,0,3,3,2,3
1.0802696,0,0,0,0,3,3,3,0
1.0643888,0,0,0,0,3,3,3,1
1.0654086,0,0,0,0,3,3,3,2
1.0657482,0,0,0,0,3,3,3,3
0.68522757,0,0,0,1,0,0,0,1
0.71221083,0,0,0,1,0,0,0,2
0.86934316,0,0,0,1,0,0,0,3
0.68130237,0,0,0,1,0,0,1,0
0.76482898,0,0,0,1,0,0,1,1
0.78462583,0,0,0,1,0,0,1,2
0.96696037,0,0,0,1,0,0,1,3
0.73726422,0,0,0,1,0,0,2,0
0.8827101,0,0,0,1,0,0,2,1
0.81807244,0,0,0,1,0,0,2,2
1.0288409,0,0,0,1,0,0,2,3
0.91253483,0,0,0,1,0,0,3,0
1.0207578,0,0,0,1,0,0,3,1
0.98582435,0,0,0,1,0,0,3,2
1.143285,0,0,0,1,0,0,3,3
0.72835535,0,0,0,1,0,1,0,0
0.79946542,0,0,0,1,0,1,0,1
0.8796981,0,0,0,1,0,1,0,2
1.0501231,0,0,0,1,0,1,0,3
0.79066747,0,0,0,1,0,1,1,0
0.81660396,0,0,0,1,0,1,1,1
0.93857348,0,0,0,1,0,1,1,2
1.0779413,0,0,0,1,0,1,1,3
0.90067941,0,0,0,1,0,1,2,0
1.0044539,0,0,0,1,0,1,2,1
0.99234349,0,0,0,1,0,1,2,2
1.18841,0,0,0,1,0,1,2,3
1.0473459,0,0,0,1,0,1,3,0
1.0206096,0,0,0,1,0,1,3,1
1.0170565,0,0,0,1,0,1,3,2
1.1634159,0,0,0,1,0,1,3,3
0.73842359,0,0,0,1,0,2,0,0
0.84472734,0,0,0,1,0,2,0,1
0.87829965,0,0,0,1,0,2,0,2
1.0754703,0,0,0,1,0,2,0,3
0.87428391,0,0,0,1,0,2,1,0
0.96668416,0,0,0,1,0,2,1,1
0.95466238,0,0,0,1,0,2,1,2
1.1630889,0,0,0,1,0,2,1,3
0.88976532,0,0,0,1,0,2,2,0
1.011476,0,0,0,1,0,2,2,1
0.91349608,0,0,0,1,0,2,2,2
1.1308942,0,0,0,1,0,2,2,3
1.110926,0,0,0,1,0,2,3,0
1.0702475,0,0,0,1,0,2,3,1
1.0446448,0,0,0,1,0,2,3,2
1.1948336,0,0,0,1,0,2,3,3
